CHI_LOW,CHI_UP,CHI,EEC,STAT,SYS,Q,ERROR,BinSize
3.6,7.2,5.4,0.468,0.008,0.003,29.0,0.0085440037453175,3.6
7.2,10.8,9.0,0.576,0.008,0.007,29.0,0.0106301458127346,3.6
10.8,14.4,12.6,0.589,0.007,0.007,29.0,0.0098994949366116,3.6
14.4,18.0,16.2,0.557,0.007,0.004,29.0,0.0080622577482985,3.6
18.0,21.6,19.8,0.489,0.006,0.003,29.0,0.0067082039324993,3.6
21.6,25.2,23.4,0.405,0.005,0.003,29.0,0.0058309518948453,3.6
25.2,28.8,27.0,0.347,0.005,0.002,29.0,0.0053851648071345,3.6
28.8,32.4,30.6,0.299,0.004,0.002,29.0,0.0044721359549995,3.6
32.4,36.0,34.2,0.26,0.004,0.002,29.0,0.0044721359549995,3.6
36.0,39.6,37.8,0.228,0.003,0.002,29.0,0.0036055512754639,3.6
39.6,43.2,41.4,0.209,0.003,0.001,29.0,0.0031622776601683,3.6
43.2,46.8,45.0,0.19,0.003,0.001,29.0,0.0031622776601683,3.6
46.8,50.4,48.6,0.167,0.003,0.001,29.0,0.0031622776601683,3.6
50.4,54.0,52.2,0.156,0.003,0.001,29.0,0.0031622776601683,3.6
54.0,57.6,55.8,0.149,0.003,0.001,29.0,0.0031622776601683,3.6
57.6,61.2,59.4,0.142,0.003,0.001,29.0,0.0031622776601683,3.6
61.2,64.8,63.0,0.132,0.003,0.001,29.0,0.0031622776601683,3.6
64.8,68.4,66.6,0.128,0.002,0.001,29.0,0.0022360679774997,3.6
68.4,72.0,70.2,0.123,0.002,0.001,29.0,0.0022360679774997,3.6
72.0,75.6,73.8,0.119,0.002,0.001,29.0,0.0022360679774997,3.6
75.6,79.2,77.4,0.121,0.003,0.001,29.0,0.0031622776601683,3.6
79.2,82.8,81.0,0.116,0.002,0.001,29.0,0.0022360679774997,3.6
82.8,86.4,84.6,0.118,0.002,0.001,29.0,0.0022360679774997,3.6
86.4,90.0,88.2,0.117,0.002,0.001,29.0,0.0022360679774997,3.6
90.0,93.6,91.8,0.117,0.003,0.001,29.0,0.0031622776601683,3.6
93.6,97.2,95.4,0.121,0.003,0.001,29.0,0.0031622776601683,3.6
97.2,100.8,99.0,0.121,0.003,0.001,29.0,0.0031622776601683,3.6
100.8,104.4,102.6,0.119,0.002,0.001,29.0,0.0022360679774997,3.6
104.4,108.0,106.2,0.13,0.003,0.001,29.0,0.0031622776601683,3.6
108.0,111.6,109.8,0.137,0.003,0.001,29.0,0.0031622776601683,3.6
111.6,115.2,113.4,0.147,0.003,0.001,29.0,0.0031622776601683,3.6
115.2,118.8,117.0,0.152,0.003,0.001,29.0,0.0031622776601683,3.6
118.8,122.4,120.6,0.159,0.003,0.001,29.0,0.0031622776601683,3.6
122.4,126.0,124.2,0.175,0.003,0.001,29.0,0.0031622776601683,3.6
126.0,129.6,127.8,0.188,0.003,0.001,29.0,0.0031622776601683,3.6
129.6,133.2,131.4,0.21,0.004,0.001,29.0,0.0041231056256176,3.6
133.2,136.8,135.0,0.226,0.004,0.002,29.0,0.0044721359549995,3.6
136.8,140.4,138.6,0.256,0.004,0.002,29.0,0.0044721359549995,3.6
140.4,144.0,142.2,0.296,0.005,0.002,29.0,0.0053851648071345,3.6
144.0,147.6,145.8,0.333,0.005,0.003,29.0,0.0058309518948453,3.6
147.6,151.2,149.4,0.384,0.006,0.003,29.0,0.0067082039324993,3.6
151.2,154.8,153.0,0.463,0.007,0.004,29.0,0.0080622577482985,3.6
154.8,158.4,156.6,0.531,0.007,0.005,29.0,0.0086023252670426,3.6
158.4,162.0,160.2,0.633,0.008,0.006,29.0,0.01,3.6
162.0,165.6,163.8,0.723,0.009,0.007,29.0,0.0114017542509913,3.6
165.6,169.2,167.4,0.783,0.011,0.004,29.0,0.0117046999107196,3.6
169.2,172.8,171.0,0.79,0.012,0.005,29.0,0.013,3.6
172.8,176.4,174.6,0.626,0.011,0.01,29.0,0.0148660687473185,3.6
176.4,180.0,178.2,0.243,0.007,0.006,29.0,0.0092195444572928,3.6
