CHI_LOW,CHI_UP,CHI,EEC,STAT,SYS,Q,ERROR,BinSize
3.6,7.2,5.4,1.316,0.006,0.032,91.2,0.0325576411921994,3.6
7.2,10.8,9.0,0.874,0.004,0.02,91.2,0.0203960780543711,3.6
10.8,14.4,12.6,0.598,0.003,0.019,91.2,0.0192353840616713,3.6
14.4,18.0,16.2,0.425,0.002,0.011,91.2,0.0111803398874989,3.6
18.0,21.6,19.8,0.31,0.002,0.014,91.2,0.0141421356237309,3.6
21.6,25.2,23.4,0.241,0.001,0.005,91.2,0.0050990195135927,3.6
25.2,28.8,27.0,0.199,0.001,0.005,91.2,0.0050990195135927,3.6
28.8,32.4,30.6,0.168,0.001,0.006,91.2,0.0060827625302982,3.6
32.4,36.0,34.2,0.146,0.001,0.005,91.2,0.0050990195135927,3.6
36.0,39.6,37.8,0.128,0.001,0.004,91.2,0.0041231056256176,3.6
39.6,43.2,41.4,0.118,0.001,0.003,91.2,0.0031622776601683,3.6
43.2,46.8,45.0,0.1099,0.0008,0.0026,91.2,0.002720294101747,3.6
46.8,50.4,48.6,0.1014,0.0009,0.0031,91.2,0.0032280024783137,3.6
50.4,54.0,52.2,0.0935,0.0008,0.0027,91.2,0.0028160255680657,3.6
54.0,57.6,55.8,0.0901,0.0009,0.0021,91.2,0.0022847319317591,3.6
57.6,61.2,59.4,0.0867,0.0008,0.0023,91.2,0.0024351591323771,3.6
61.2,64.8,63.0,0.0827,0.0009,0.0023,91.2,0.0024698178070456,3.6
64.8,68.4,66.6,0.0802,0.001,0.0018,91.2,0.0020591260281974,3.6
68.4,72.0,70.2,0.0764,0.0009,0.0031,91.2,0.0032280024783137,3.6
72.0,75.6,73.8,0.077,0.001,0.001,91.2,0.001414213562373,3.6
75.6,79.2,77.4,0.0752,0.0008,0.0031,91.2,0.0032015621187164,3.6
79.2,82.8,81.0,0.0736,0.0008,0.0013,91.2,0.0015264337522473,3.6
82.8,86.4,84.6,0.0751,0.001,0.0015,91.2,0.0018027756377319,3.6
86.4,90.0,88.2,0.0744,0.001,0.0014,91.2,0.0017204650534085,3.6
90.0,93.6,91.8,0.0761,0.0009,0.0013,91.2,0.0015811388300841,3.6
93.6,97.2,95.4,0.0764,0.0009,0.0025,91.2,0.0026570660511172,3.6
97.2,100.8,99.0,0.0777,0.0009,0.0023,91.2,0.0024698178070456,3.6
100.8,104.4,102.6,0.0809,0.0012,0.0016,91.2,0.002,3.6
104.4,108.0,106.2,0.0834,0.001,0.0024,91.2,0.0026,3.6
108.0,111.6,109.8,0.0874,0.001,0.0022,91.2,0.0024166091947189,3.6
111.6,115.2,113.4,0.0931,0.0013,0.0015,91.2,0.0019849433241279,3.6
115.2,118.8,117.0,0.0968,0.0012,0.0038,91.2,0.0039849717690342,3.6
118.8,122.4,120.6,0.103,0.0012,0.007,91.2,0.0071021123618258,3.6
122.4,126.0,124.2,0.111,0.001,0.002,91.2,0.0022360679774997,3.6
126.0,129.6,127.8,0.121,0.001,0.007,91.2,0.0070710678118654,3.6
129.6,133.2,131.4,0.136,0.002,0.003,91.2,0.0036055512754639,3.6
133.2,136.8,135.0,0.151,0.002,0.004,91.2,0.0044721359549995,3.6
136.8,140.4,138.6,0.17,0.002,0.005,91.2,0.0053851648071345,3.6
140.4,144.0,142.2,0.193,0.002,0.006,91.2,0.0063245553203367,3.6
144.0,147.6,145.8,0.225,0.002,0.008,91.2,0.0082462112512353,3.6
147.6,151.2,149.4,0.265,0.002,0.007,91.2,0.0072801098892805,3.6
151.2,154.8,153.0,0.32,0.003,0.008,91.2,0.0085440037453175,3.6
154.8,158.4,156.6,0.39,0.003,0.013,91.2,0.0133416640641263,3.6
158.4,162.0,160.2,0.491,0.003,0.017,91.2,0.017262676501632,3.6
162.0,165.6,163.8,0.636,0.004,0.012,91.2,0.0126491106406735,3.6
165.6,169.2,167.4,0.847,0.006,0.007,91.2,0.0092195444572928,3.6
169.2,172.8,171.0,1.098,0.005,0.009,91.2,0.010295630140987,3.6
172.8,176.4,174.6,1.276,0.007,0.044,91.2,0.0445533388198909,3.6
176.4,180.0,178.2,0.764,0.007,0.05,91.2,0.0504876222454573,3.6
