CHI,EEC,STAT,SYS
1.8,2.082,0.034,0.104
5.4,0.152,0.009,0.008
9,0.227,0.01,0.011
12.6,0.302,0.012,0.015
16.2,0.33,0.012,0.017
19.8,0.335,0.011,0.017
23.4,0.357,0.011,0.018
27,0.336,0.01,0.017
30.6,0.332,0.01,0.017
34.2,0.319,0.01,0.016
37.8,0.296,0.009,0.015
41.4,0.253,0.008,0.013
45,0.249,0.008,0.012
48.6,0.234,0.008,0.012
52.2,0.228,0.007,0.011
55.8,0.219,0.007,0.011
59.4,0.2,0.007,0.01
63,0.188,0.006,0.009
66.6,0.195,0.006,0.01
70.2,0.189,0.007,0.009
73.8,0.172,0.006,0.009
77.4,0.166,0.006,0.008
81,0.177,0.006,0.009
84.6,0.186,0.006,0.009
88.2,0.179,0.006,0.009
91.8,0.177,0.006,0.009
95.4,0.176,0.006,0.009
99,0.199,0.007,0.01
102.6,0.186,0.007,0.009
106.2,0.186,0.006,0.009
109.8,0.208,0.007,0.01
113.4,0.207,0.006,0.01
117,0.209,0.007,0.01
120.6,0.227,0.007,0.011
124.2,0.235,0.007,0.012
127.8,0.265,0.009,0.013
131.4,0.274,0.008,0.014
135,0.303,0.009,0.015
138.6,0.328,0.009,0.016
142.2,0.365,0.01,0.018
145.8,0.391,0.011,0.02
149.4,0.45,0.012,0.023
153,0.449,0.013,0.022
156.6,0.513,0.014,0.026
160.2,0.548,0.016,0.027
163.8,0.537,0.016,0.027
167.4,0.578,0.021,0.029
171,0.49,0.019,0.025
174.6,0.372,0.02,0.019
178.2,0.159,0.016,0.008
