CHI,EEC,STAT,SYS,Q,ERROR,BinSize
5.4,0.541,0.007,0.027,34.8,0.0278926513619627,3.6
9.0,0.642,0.006,0.032,34.8,0.0325576411921994,3.6
12.6,0.623,0.005,0.031,34.8,0.0314006369362151,3.6
16.2,0.533,0.004,0.027,34.8,0.0272946881279123,3.6
19.8,0.446,0.003,0.022,34.8,0.0222036033111745,3.6
23.4,0.372,0.003,0.019,34.8,0.0192353840616713,3.6
27.0,0.314,0.002,0.016,34.8,0.0161245154965971,3.6
30.6,0.268,0.002,0.013,34.8,0.0131529464379659,3.6
34.2,0.232,0.002,0.012,34.8,0.0121655250605964,3.6
37.8,0.205,0.002,0.01,34.8,0.0101980390271855,3.6
41.4,0.183,0.002,0.009,34.8,0.0092195444572928,3.6
45.0,0.169,0.001,0.008,34.8,0.0080622577482985,3.6
48.6,0.151,0.002,0.008,34.8,0.0082462112512353,3.6
52.2,0.141,0.002,0.007,34.8,0.0072801098892805,3.6
55.8,0.131,0.002,0.007,34.8,0.0072801098892805,3.6
59.4,0.127,0.001,0.006,34.8,0.0060827625302982,3.6
63.0,0.122,0.001,0.006,34.8,0.0060827625302982,3.6
66.6,0.118,0.001,0.006,34.8,0.0060827625302982,3.6
70.2,0.115,0.001,0.006,34.8,0.0060827625302982,3.6
73.8,0.112,0.001,0.006,34.8,0.0060827625302982,3.6
77.4,0.111,0.001,0.006,34.8,0.0060827625302982,3.6
81.0,0.111,0.001,0.006,34.8,0.0060827625302982,3.6
84.6,0.11,0.001,0.005,34.8,0.0050990195135927,3.6
88.2,0.111,0.001,0.006,34.8,0.0060827625302982,3.6
91.8,0.111,0.001,0.006,34.8,0.0060827625302982,3.6
95.4,0.112,0.001,0.006,34.8,0.0060827625302982,3.6
99.0,0.115,0.001,0.006,34.8,0.0060827625302982,3.6
102.6,0.117,0.001,0.006,34.8,0.0060827625302982,3.6
106.2,0.122,0.001,0.006,34.8,0.0060827625302982,3.6
109.8,0.124,0.001,0.006,34.8,0.0060827625302982,3.6
113.4,0.133,0.001,0.007,34.8,0.0070710678118654,3.6
117.0,0.138,0.002,0.007,34.8,0.0072801098892805,3.6
120.6,0.145,0.002,0.007,34.8,0.0072801098892805,3.6
124.2,0.157,0.002,0.008,34.8,0.0082462112512353,3.6
127.8,0.171,0.002,0.009,34.8,0.0092195444572928,3.6
131.4,0.191,0.002,0.01,34.8,0.0101980390271855,3.6
135.0,0.208,0.002,0.01,34.8,0.0101980390271855,3.6
138.6,0.229,0.002,0.011,34.8,0.0111803398874989,3.6
142.2,0.265,0.002,0.013,34.8,0.0131529464379659,3.6
145.8,0.302,0.003,0.015,34.8,0.0152970585407783,3.6
149.4,0.355,0.003,0.018,34.8,0.0182482875908946,3.6
153.0,0.404,0.003,0.02,34.8,0.0202237484161566,3.6
156.6,0.487,0.004,0.024,34.8,0.0243310501211928,3.6
160.2,0.574,0.004,0.029,34.8,0.0292745623366088,3.6
163.8,0.682,0.005,0.034,34.8,0.0343656805548791,3.6
167.4,0.792,0.006,0.04,34.8,0.0404474968323133,3.6
171.0,0.871,0.007,0.044,34.8,0.0445533388198909,3.6
174.6,0.755,0.008,0.038,34.8,0.0388329756778952,3.6
178.2,0.383,0.007,0.019,34.8,0.0202484567313165,3.6
