CHI,EEC,STAT,SYS
1.8,3.166,0.084,0.12664
5.4,1.037,0.027,0.04148
9,0.85,0.017,0.034
12.6,0.654,0.017,0.02616
16.2,0.47,0.013,0.0188
19.8,0.397,0.012,0.01588
23.4,0.31,0.008,0.0124
27,0.244,0.009,0.00976
30.6,0.194,0.007,0.00776
34.2,0.176,0.007,0.00704
37.8,0.144,0.006,0.00576
41.4,0.145,0.005,0.0058
45,0.139,0.005,0.00556
48.6,0.114,0.004,0.00456
52.2,0.11,0.005,0.0044
55.8,0.101,0.004,0.00404
59.4,0.097,0.004,0.00388
63,0.092,0.005,0.00368
66.6,0.09,0.005,0.0036
70.2,0.086,0.004,0.00344
73.8,0.087,0.004,0.00348
77.4,0.085,0.004,0.0034
81,0.076,0.005,0.00304
84.6,0.097,0.005,0.00388
88.2,0.101,0.006,0.00404
91.8,0.089,0.005,0.00356
95.4,0.094,0.005,0.00376
99,0.083,0.005,0.00332
102.6,0.101,0.005,0.00404
106.2,0.091,0.005,0.00364
109.8,0.098,0.006,0.00392
113.4,0.108,0.006,0.00432
117,0.107,0.006,0.00428
120.6,0.11,0.007,0.0044
124.2,0.126,0.008,0.00504
127.8,0.157,0.008,0.00628
131.4,0.146,0.007,0.00584
135,0.168,0.01,0.00672
138.6,0.189,0.011,0.00756
142.2,0.219,0.012,0.00876
145.8,0.235,0.011,0.0094
149.4,0.29,0.014,0.0116
153,0.348,0.015,0.01392
156.6,0.428,0.019,0.01712
160.2,0.557,0.015,0.02228
163.8,0.694,0.018,0.02776
167.4,0.781,0.021,0.03124
171,1.053,0.032,0.04212
174.6,1.108,0.044,0.04432
178.2,0.599,0.035,0.02396
