αs,params,chi2/dof
0.118,[0.82595 2.81906 1.21388 1.4799 ],2.233712946354877
0.118,[0.8415  2.72009 1.17105 1.29628],1.9188947131912861
0.118,[0.83608 2.74075 1.18597 1.3654 ],1.6043664977660288
0.118,[0.84268 2.75115 1.17163 1.31089],2.2859869016696055
0.118,[0.82055 2.82381 1.20897 1.48338],2.1437920596342317
0.118,[0.84567 2.68964 1.17096 1.31484],2.0485807502769178
0.118,[0.82924 2.82303 1.21629 1.47568],1.6110023702878344
0.118,[0.84478 2.69423 1.16801 1.29464],1.8667164529892943
0.118,[0.84031 2.79465 1.18853 1.30644],1.702300145810982
0.118,[0.83972 2.8207  1.18732 1.24227],2.3846990029687016
0.118,[0.83383 2.7794  1.19276 1.36569],2.2481137608622617
0.118,[0.83884 2.70109 1.16002 1.36949],1.9682720689722584
0.118,[0.82989 2.68011 1.18772 1.47256],2.306322468667394
0.118,[0.81833 2.87109 1.23734 1.51312],2.142567560867556
0.118,[0.84873 2.6612  1.1577  1.30319],2.381579376479628
0.118,[0.82795 2.79665 1.21015 1.41886],2.0345889378531785
0.118,[0.84463 2.82301 1.18617 1.30998],2.184956256647801
0.118,[0.82435 2.897   1.22568 1.45201],2.1425657554121265
0.118,[0.82697 2.81739 1.19477 1.44463],2.208064210837545
0.118,[0.84124 2.77851 1.17817 1.28368],2.1024268225962905
0.118,[0.82868 2.82075 1.20874 1.42143],2.179131756075982
0.118,[0.84011 2.80255 1.19233 1.32573],1.7974276045540252
0.118,[0.83308 2.8407  1.20177 1.32717],2.4383495764019867
0.118,[0.8209  2.81845 1.2113  1.51824],2.5325276172840097
0.118,[0.83293 2.73557 1.17495 1.39724],2.1462923149617605
0.118,[0.83434 2.80402 1.2003  1.39097],1.7930608335409153
0.118,[0.84692 2.67993 1.14464 1.28358],2.550105496916648
0.118,[0.84376 2.73546 1.17061 1.28622],2.417647625009925
0.118,[0.83418 2.80901 1.19464 1.39947],2.800491840283431
0.118,[0.83646 2.73714 1.18619 1.38225],2.2464979585871956
0.118,[0.83892 2.83551 1.18812 1.29484],2.210238438219338
0.118,[0.84175 2.76628 1.18355 1.32168],2.3458466569834577
0.118,[0.83943 2.77644 1.19059 1.3584 ],1.8947534614253831
