αs,params,chi2/dof
0.118,[0.85731 2.58719 1.17159 1.29629],1.3071663207264872
0.118,[0.82043 2.87806 1.19462 1.41841],1.2154910804500327
0.118,[0.83454 2.77021 1.18806 1.36998],1.2410374142161262
0.118,[0.82726 2.63336 1.20691 1.40261],1.195996903333074
0.118,[0.84307 2.86183 1.17955 1.35352],1.2929174608612153
0.118,[0.81017 2.92027 1.19046 1.42895],1.2070384046594782
0.118,[0.85328 2.59088 1.19075 1.34247],1.2622082509147983
0.118,[0.82622 2.796   1.1922  1.38978],1.2177571156331768
0.118,[0.86796 2.69811 1.18267 1.31216],1.3601674993316517
0.118,[0.85426 2.50696 1.17269 1.30647],1.2702982795858713
0.118,[0.81219 2.86825 1.19818 1.43365],1.200596073728834
0.118,[0.86412 2.58564 1.18688 1.32251],1.3084589307127998
0.118,[0.82088 2.90843 1.1915  1.41795],1.2222252578768364
0.118,[0.85165 2.85681 1.16359 1.29811],1.367555384751078
0.118,[0.83696 2.86609 1.17897 1.35865],1.2741272984089878
0.118,[0.84488 2.85501 1.17086 1.3263 ],1.3183875934390834
0.118,[0.83555 2.61863 1.19893 1.37959],1.2109059030417018
0.118,[0.85675 2.63764 1.17318 1.29969],1.3156838135877167
0.118,[0.83847 2.65229 1.20534 1.38709],1.2178120197417763
0.118,[0.83429 2.63593 1.19055 1.36337],1.2131736295268833
0.118,[0.8577  2.53504 1.1693  1.29331],1.298035447187276
0.118,[0.82591 2.92707 1.18525 1.40189],1.2414045921388561
0.118,[0.84884 2.69145 1.17661 1.31774],1.2884834335132482
0.118,[0.85167 2.63056 1.19576 1.35575],1.2580510307898067
0.118,[0.8331  2.7077  1.19149 1.37076],1.2211096624572215
0.118,[0.85904 2.8082  1.18249 1.33428],1.3403542561666122
0.118,[0.84203 2.62098 1.19125 1.35628],1.2312418770604308
0.118,[0.83184 2.70437 1.18841 1.36431],1.2196797805071558
0.118,[0.82291 2.92911 1.19122 1.42121],1.2288087918080695
0.118,[0.84912 2.82341 1.16852 1.30821],1.3367848451067275
0.118,[0.83114 2.66385 1.19371 1.37499],1.2086088559990464
0.118,[0.8266  2.57966 1.19598 1.37984],1.1878680580014827
0.118,[0.83481 2.8968  1.17487 1.35689],1.2792249021554165
0.118,[0.87018 2.70873 1.17868 1.30036],1.3846519815176717
0.118,[0.81532 2.95734 1.19526 1.44966],1.2166360243038636
0.118,[0.82664 2.80972 1.20678 1.42642],1.2134037609124382
0.118,[0.828   2.87519 1.1973  1.41649],1.2278663938214318
0.118,[0.86417 2.57917 1.18838 1.32558],1.3046566509315543
0.118,[0.83589 2.60877 1.20271 1.384  ],1.2089425957720847
0.118,[0.82761 2.77432 1.20308 1.4106 ],1.2119723815864418
0.118,[0.84024 2.90795 1.18526 1.38235],1.2778464212862595
0.118,[0.84067 2.55633 1.18344 1.34138],1.221397489816706
0.118,[0.81871 2.97115 1.19277 1.4441 ],1.2249124569799963
0.118,[0.86208 2.55326 1.18264 1.31603],1.2999889027025453
0.118,[0.82275 2.93164 1.19216 1.42469],1.2280080868716514
0.118,[0.8285  2.75879 1.20336 1.40798],1.2117059464032904
0.118,[0.80752 2.93697 1.18994 1.43543],1.2059939191058777
0.118,[0.81791 2.85072 1.19157 1.40612],1.2094459769289423
0.118,[0.83043 2.76901 1.19456 1.38805],1.2213212834435971
0.118,[0.82955 2.63403 1.20827 1.40298],1.199967985314313
0.118,[0.82072 2.64816 1.20067 1.39799],1.1864885974212245
0.118,[0.83007 2.93328 1.1895  1.41072],1.2466441027321526
0.118,[0.84341 2.59113 1.18166 1.33435],1.2383103522694177
0.118,[0.84803 2.85804 1.17792 1.34356],1.3142011997112952
0.118,[0.8545  2.8542  1.17332 1.32409],1.3519074408297556
0.118,[0.82775 2.87341 1.17999 1.37055],1.2464309217447096
0.118,[0.81788 2.90949 1.19652 1.43462],1.2140882512186693
0.118,[0.85464 2.54807 1.18328 1.32583],1.2677872678541824
0.118,[0.8552  2.52517 1.17245 1.30382],1.2792834926446066
0.118,[0.82471 2.80962 1.20325 1.42028],1.2109241669712454
0.118,[0.83098 2.64298 1.19504 1.37676],1.204775356358923
0.118,[0.80869 2.87537 1.19517 1.43003],1.197997158297198
0.118,[0.82878 2.643   1.21757 1.42189],1.2027297163195685
0.118,[0.85227 2.55318 1.17424 1.30967],1.2714374356423872
0.118,[0.8339  2.70209 1.21058 1.41019],1.2142672456062307
0.118,[0.81546 2.88122 1.19862 1.4348 ],1.2063406616551515
0.118,[0.82005 2.66793 1.20828 1.41585],1.1896370038064146
0.118,[0.84694 2.56931 1.19657 1.35989],1.233511890196435
0.118,[0.81659 2.82772 1.19767 1.41858],1.2017048089069036
0.118,[0.81002 2.91901 1.19012 1.42762],1.206858628560559
0.118,[0.8378  2.63689 1.18825 1.35496],1.2241720449557165
0.118,[0.8574  2.83768 1.17371 1.31866],1.3613466181748457
0.118,[0.85644 2.78968 1.17003 1.30132],1.3593612779516533
0.118,[0.83266 2.81174 1.19239 1.38644],1.2347671350279452
0.118,[0.83986 2.59878 1.1908  1.35718],1.221866805614636
0.118,[0.81649 2.90336 1.19512 1.43062],1.2118223118310343
0.118,[0.83004 2.85514 1.18708 1.38699],1.242221395808049
0.118,[0.81326 2.78335 1.20173 1.4235 ],1.191781573682629
0.118,[0.81122 2.89638 1.19071 1.42106],1.2053915187958835
0.118,[0.84843 2.53016 1.1808  1.32825],1.243959993321937
0.118,[0.82654 2.65409 1.20162 1.39481],1.1963806971811513
0.118,[0.82159 2.82708 1.19976 1.41861],1.2088097542267537
0.118,[0.82619 2.88544 1.20045 1.42895],1.2234615358822898
0.118,[0.8536  2.68643 1.17372 1.30507],1.3132494863256956
0.118,[0.81505 2.67766 1.20594 1.41713],1.1840451342145104
0.118,[0.84823 2.83815 1.17697 1.33676],1.3144503180083669
0.118,[0.83935 2.8914  1.17288 1.34605],1.2980330992192761
0.118,[0.81245 2.79096 1.20005 1.42114],1.1916430396061446
0.118,[0.80972 2.92858 1.18721 1.42203],1.2094466743689585
0.118,[0.83159 2.83592 1.19756 1.40461],1.2306042613898838
0.118,[0.83557 2.79301 1.19044 1.37575],1.2418238027092383
0.118,[0.82438 2.6675  1.20825 1.4113 ],1.1951963623779587
0.118,[0.85786 2.58208 1.1709  1.29418],1.3096056142419812
0.118,[0.82589 2.78474 1.19918 1.40515],1.2114690820270522
0.118,[0.83761 2.74813 1.18159 1.34511],1.251870782815874
0.118,[0.85745 2.65542 1.17654 1.3075 ],1.3164952082770767
0.118,[0.81989 2.80999 1.2057  1.43129],1.203255434982972
0.118,[0.84939 2.87692 1.16922 1.32314],1.3442471335213215
0.118,[0.82156 2.79861 1.19342 1.39753],1.2079393090941617
0.118,[0.81459 2.87438 1.19266 1.41767],1.206479416407358
0.118,[0.83286 2.8989  1.19372 1.40865],1.2445787778062944
0.118,[0.83118 2.76083 1.20329 1.40533],1.217139698296758
0.118,[0.83255 2.66926 1.18956 1.36427],1.2147764483809074
0.118,[0.8646  2.69973 1.17929 1.30779],1.3536688317776913
0.118,[0.85292 2.85253 1.17577 1.33181],1.3383117244060332
0.118,[0.84442 2.73872 1.17802 1.32872],1.2793384357564164
0.118,[0.84291 2.85239 1.18953 1.37691],1.2725780724557327
0.118,[0.82083 2.72306 1.20135 1.40665],1.1949624088341742
0.118,[0.8276  2.64135 1.20452 1.39839],1.1969453745763527
0.118,[0.81562 2.89307 1.18651 1.40385],1.214807225518731
0.118,[0.86788 2.63119 1.17525 1.29169],1.36309898125601
0.118,[0.82499 2.74644 1.21061 1.42565],1.2041037556884073
0.118,[0.84808 2.62707 1.19976 1.36739],1.242920977434628
0.118,[0.81787 2.89686 1.19738 1.43326],1.2121628654847971
0.118,[0.84604 2.81238 1.18865 1.36378],1.2788147586920273
0.118,[0.81494 2.74303 1.20561 1.4247 ],1.1900384008981109
0.118,[0.85835 2.69599 1.17227 1.29672],1.3409236160571372
0.118,[0.82279 2.92783 1.19725 1.43848],1.2246718367797216
0.118,[0.87002 2.60212 1.18019 1.30083],1.3534752609696052
0.118,[0.81383 2.78861 1.19963 1.41851],1.193009362441933
0.118,[0.82558 2.63777 1.21154 1.41335],1.1953639658242097
0.118,[0.82045 2.77754 1.20374 1.42023],1.2004955769730763
0.118,[0.87331 2.61789 1.18001 1.29649],1.3742941088275507
0.118,[0.82746 2.90081 1.17882 1.3751 ],1.2511595942942815
0.118,[0.84014 2.87    1.1728  1.33945],1.2981043987427758
0.118,[0.84741 2.63448 1.18831 1.3449 ],1.2532351170022866
0.118,[0.8298  2.84034 1.19002 1.38897],1.2341756660326073
0.118,[0.82165 2.86052 1.2056  1.44029],1.2114617259009133
0.118,[0.84147 2.80693 1.18826 1.3671 ],1.264531788945582
0.118,[0.85316 2.79193 1.1689  1.30075],1.3477712075956045
0.118,[0.83331 2.68053 1.19206 1.36986],1.216922333264535
0.118,[0.85739 2.72005 1.18225 1.32469],1.3186076180999382
0.118,[0.85212 2.77133 1.17358 1.31311],1.3269616158233146
0.118,[0.85354 2.85034 1.1796  1.34039],1.3306731315075917
0.118,[0.84601 2.8565  1.1718  1.32855],1.320810025906784
0.118,[0.84241 2.91364 1.17738 1.3616 ],1.301353484708434
0.118,[0.85564 2.81782 1.17184 1.31172],1.355727504344776
0.118,[0.85692 2.64916 1.17138 1.29453],1.3234868996420115
0.118,[0.85792 2.62559 1.17496 1.30294],1.314120836030362
0.118,[0.82234 2.9222  1.19963 1.44165],1.2213936930341684
0.118,[0.81454 2.95178 1.19081 1.43637],1.217094514873658
0.118,[0.83757 2.85854 1.18083 1.36138],1.2716504363870722
0.118,[0.85528 2.87269 1.16504 1.30448],1.3822846085171856
0.118,[0.84737 2.75781 1.19335 1.36541],1.2678701390711695
0.118,[0.83828 2.84171 1.17951 1.35362],1.2738433841771861
0.118,[0.82003 2.83451 1.19    1.39622],1.2121873100404061
0.118,[0.81442 2.83051 1.20175 1.43076],1.1983852377752005
0.118,[0.83127 2.71183 1.18882 1.36639],1.2191931928369344
0.118,[0.86621 2.67478 1.17516 1.29436],1.3665679841544953
0.118,[0.86452 2.62931 1.18536 1.31935],1.3228824135951653
0.118,[0.81578 2.80723 1.19665 1.4128 ],1.198438111725174
0.118,[0.8395  2.67097 1.18559 1.34854],1.237813783711156
0.118,[0.84279 2.78463 1.17773 1.33479],1.2831171482485426
0.118,[0.81421 2.78237 1.20009 1.41831],1.1927405204035577
0.118,[0.86703 2.655   1.18345 1.31288],1.3443004282589446
0.118,[0.84855 2.91814 1.17393 1.34794],1.332507733267807
0.118,[0.85089 2.72649 1.17656 1.31786],1.3050920736237401
0.118,[0.83804 2.70842 1.20035 1.38422],1.226543285617254
0.118,[0.82691 2.85705 1.20042 1.42108],1.22155832336868
0.118,[0.84886 2.79261 1.17195 1.31384],1.3211184615840899
0.118,[0.82391 2.85321 1.18846 1.39293],1.2239460205051322
0.118,[0.83104 2.64918 1.20407 1.39471],1.2037938216878248
0.118,[0.86304 2.71007 1.1759  1.30174],1.3575981395290133
0.118,[0.86068 2.67494 1.18574 1.32627],1.3155573101053402
0.118,[0.86477 2.57508 1.17531 1.29639],1.3318125295285685
0.118,[0.82183 2.93203 1.18424 1.40458],1.2340653833368098
0.118,[0.81104 2.86305 1.19444 1.42266],1.1994621006914772
0.118,[0.83195 2.83705 1.18894 1.38327],1.2402962144475151
0.118,[0.83028 2.71431 1.19198 1.37502],1.2148185736219577
0.118,[0.83009 2.60801 1.19323 1.37198],1.1983067256586346
0.118,[0.81669 2.83921 1.19327 1.40917],1.2049611402984388
0.118,[0.84179 2.85605 1.17482 1.34064],1.2976379437984185
0.118,[0.83302 2.59659 1.19724 1.37633],1.202370396866159
0.118,[0.8423  2.59869 1.18795 1.34871],1.2307627858060104
0.118,[0.83135 2.78034 1.19243 1.38296],1.2270655544849427
0.118,[0.85223 2.87916 1.16523 1.30952],1.3683780796954872
0.118,[0.84537 2.66067 1.19643 1.36543],1.2428917693085464
0.118,[0.82548 2.83314 1.18782 1.38564],1.225231617701033
0.118,[0.85998 2.68443 1.17747 1.30781],1.3330924983124102
0.118,[0.82658 2.80093 1.20956 1.43117],1.2120746315565525
0.118,[0.81996 2.79908 1.19748 1.40943],1.2034415351954504
0.118,[0.83427 2.58702 1.18962 1.36018],1.205868413088296
0.118,[0.83801 2.69581 1.19925 1.38196],1.2262385105401437
0.118,[0.83948 2.62963 1.18447 1.34473],1.2308704405501925
0.118,[0.85945 2.64985 1.18996 1.33596],1.2974359723182556
0.118,[0.86816 2.561   1.18309 1.30984],1.3277869170511134
0.118,[0.82422 2.87308 1.1814  1.37486],1.2338352634390328
0.118,[0.85844 2.6769  1.17067 1.29132],1.3402790262813344
0.118,[0.82559 2.87365 1.18417 1.3834 ],1.2344607516394468
0.118,[0.83604 2.6286  1.2117  1.40243],1.2112020692309984
0.118,[0.82035 2.74996 1.20943 1.42853],1.1979881263269216
0.118,[0.854   2.67661 1.18792 1.33875],1.2853068361877384
0.118,[0.82088 2.63004 1.20493 1.40507],1.1861568788404988
0.118,[0.86082 2.77506 1.18219 1.32711],1.3433855537041557
0.118,[0.82231 2.66434 1.20842 1.41342],1.1921757412172442
0.118,[0.85428 2.87071 1.16784 1.31305],1.3688783424925783
0.118,[0.82073 2.86214 1.19807 1.42302],1.2122663088649723
0.118,[0.86021 2.55361 1.18213 1.31708],1.292939138242049
0.118,[0.8347  2.75353 1.19996 1.3932 ],1.2254905822706028
0.118,[0.85977 2.67096 1.1726  1.2952 ],1.3403581703379996
