αs,params,chi2/dof
0.118,[0.86075 2.65953 1.12323],2.824785843865059
0.118,[0.8633  2.76509 1.15174],2.6134803883083717
0.118,[0.86099 2.6979  1.12712],2.716118191049241
0.118,[0.86299 2.67957 1.12317],2.7568460342005863
0.118,[0.86137 2.74859 1.14665],2.185131864612627
0.118,[0.86262 2.71525 1.1282 ],2.3878017645179255
0.118,[0.8669  2.7278  1.13413],2.2603254208647083
0.118,[0.86548 2.76296 1.1359 ],2.5026269389712104
0.118,[0.86883 2.67908 1.12897],2.5720921864125126
0.118,[0.86413 2.76145 1.13134],2.2147493843632935
0.118,[0.86116 2.75442 1.14735],2.244875382568093
0.118,[0.86676 2.70018 1.13589],2.594832868680537
0.118,[0.86692 2.67033 1.12756],2.822129530769566
0.118,[0.86679 2.72929 1.13776],2.314702393287995
0.118,[0.86808 2.66367 1.10535],2.5981093019516406
0.118,[0.87184 2.6407  1.10951],2.164360503274066
0.118,[0.86768 2.70194 1.12728],2.454056889054352
0.118,[0.86385 2.76349 1.1557 ],2.8112866048929095
0.118,[0.86475 2.76112 1.14387],2.3726308253815995
0.118,[0.86584 2.72231 1.13286],2.1533617533925615
0.118,[0.86319 2.75838 1.13445],2.258841353093732
0.118,[0.86541 2.73586 1.13657],2.7398344329368256
0.118,[0.86215 2.75525 1.13162],3.1892131700922577
0.118,[0.86018 2.72152 1.14684],2.494173498452058
0.118,[0.8685  2.7939  1.14352],2.7892474146854025
0.118,[0.86671 2.68883 1.12031],2.1768753716134905
0.118,[0.8669  2.72307 1.13667],2.4930648197448435
0.118,[0.86842 2.6663  1.12318],2.443522705330488
0.118,[0.86605 2.72424 1.12822],2.691643105940514
0.118,[0.86953 2.73387 1.14842],2.696655768939735
0.118,[0.8618  2.72995 1.14535],2.728834626984923
0.118,[0.87037 2.71818 1.13989],2.30011245313437
0.118,[0.85711 2.76072 1.15025],2.46209742347844
0.118,[0.86719 2.71771 1.12874],2.304303976950171
0.118,[0.86538 2.73948 1.14152],2.15215307438207
0.118,[0.86296 2.7267  1.12959],2.5013838518150284
0.118,[0.85974 2.72642 1.14056],2.5321165311764986
0.118,[0.86185 2.77725 1.14329],2.720129998733601
0.118,[0.8629  2.75102 1.13371],2.717976217180824
0.118,[0.86234 2.77896 1.14879],2.6505017741282573
0.118,[0.86267 2.76895 1.15403],2.6064223915888785
0.118,[0.86889 2.7277  1.1362 ],2.4005190143663344
0.118,[0.86511 2.71181 1.13215],2.870415246016553
0.118,[0.86299 2.75402 1.1363 ],2.747671035982129
0.118,[0.87077 2.6772  1.12538],3.023073962181016
0.118,[0.86702 2.67943 1.13493],2.268534090375494
0.118,[0.86675 2.68926 1.13127],2.4093875409920806
0.118,[0.86631 2.75906 1.13227],2.538687754133636
0.118,[0.86554 2.74181 1.1439 ],2.649692286026731
0.118,[0.86676 2.70039 1.13739],2.530176135236018
0.118,[0.86062 2.74534 1.14626],2.4352956065242686
0.118,[0.8677  2.72948 1.13491],2.4853377253462705
0.118,[0.86593 2.77816 1.13881],2.5175325723697886
0.118,[0.87005 2.71885 1.1255 ],2.9548721226897925
0.118,[0.86616 2.74179 1.13607],2.8682075045450963
0.118,[0.86202 2.74139 1.13764],2.2522370378001786
0.118,[0.86451 2.73141 1.13629],2.059164245689765
0.118,[0.86558 2.72473 1.13164],2.549470789207112
0.118,[0.86201 2.79    1.15167],2.6778881884257184
