αs,params,chi2/dof,ratios_list
0.11195,[ 3.08365 -0.91708 -0.43962],1.9454324280095057,"{'μS_ratio': 0.7030735198649436, 'μJ_ratio': 1.2231423395440464, 'νS_ratio': 1.134893471124658, 'νJ_ratio': 1.9397181877510075, 'μH_ratio': 0.7596753645387869, 'bmax_ratio': 0.9265815567760359}"
0.11431,[ 3.07864 -0.80762 -0.29816],1.963705224712774,"{'μS_ratio': 0.9810789745095144, 'μJ_ratio': 0.7326841850490307, 'νS_ratio': 0.7130809238272388, 'νJ_ratio': 1.194059852210545, 'μH_ratio': 0.9964955881522015, 'bmax_ratio': 1.1064550895769378}"
0.11311,[ 3.06959 -0.77968 -0.28933],1.9459839259947633,"{'μS_ratio': 0.5894918027607882, 'μJ_ratio': 0.6914844155122862, 'νS_ratio': 0.5643214132870837, 'νJ_ratio': 0.8214640842602972, 'μH_ratio': 0.6446547809431744, 'bmax_ratio': 0.6890189069397856}"
0.11308,[ 3.07715 -0.84282 -0.34225],1.9554045428032027,"{'μS_ratio': 0.613740011890609, 'μJ_ratio': 0.8900014021478327, 'νS_ratio': 0.6075349256458518, 'νJ_ratio': 0.6154746695858974, 'μH_ratio': 1.2200571000447362, 'bmax_ratio': 1.369302599956708}"
0.11204,[ 3.08186 -0.9174  -0.43887],1.9506764430678858,"{'μS_ratio': 0.7058159069460817, 'μJ_ratio': 1.1564183346637513, 'νS_ratio': 0.5657736614275135, 'νJ_ratio': 1.0602585778293911, 'μH_ratio': 0.8200999096015954, 'bmax_ratio': 1.3250096300085519}"
0.11404,[ 3.07115 -0.73636 -0.25161],1.9622534451565024,"{'μS_ratio': 0.5991817426458182, 'μJ_ratio': 0.6872308128485854, 'νS_ratio': 1.0802606617499921, 'νJ_ratio': 0.6428676809742765, 'μH_ratio': 1.330540964261405, 'bmax_ratio': 0.7107400121847662}"
0.11254,[ 3.07837 -0.86163 -0.3604 ],1.9305703456105794,"{'μS_ratio': 0.5461453796406954, 'μJ_ratio': 1.0660584392672594, 'νS_ratio': 1.0724397865582582, 'νJ_ratio': 1.0266709970124244, 'μH_ratio': 0.6071159489550514, 'bmax_ratio': 0.9147015539661305}"
0.12006,[ 3.05905 -0.84023 -0.32836],1.938804429859579,"{'μS_ratio': 1.8419520560615106, 'μJ_ratio': 1.2366342661270386, 'νS_ratio': 1.9852943680158084, 'νJ_ratio': 1.3765154147864087, 'μH_ratio': 1.3386927608189425, 'bmax_ratio': 1.2434606034629083}"
0.11548,[ 3.08201 -0.68358 -0.20571],1.9951094936780815,"{'μS_ratio': 1.066346519004278, 'μJ_ratio': 0.6279481949904355, 'νS_ratio': 1.2421246209216776, 'νJ_ratio': 1.2582505987646655, 'μH_ratio': 1.2037662192952483, 'bmax_ratio': 0.9673280116319152}"
0.11378,[ 3.07992 -0.9348  -0.44549],1.9473611094061114,"{'μS_ratio': 1.1221960065614156, 'μJ_ratio': 1.6903137112506224, 'νS_ratio': 1.372270135629571, 'νJ_ratio': 0.9938003715316486, 'μH_ratio': 1.472209261673805, 'bmax_ratio': 1.3632672284269958}"
