αs,params,chi2/dof
0.118,[0.86278 2.82123 1.13176],1.5927542554627512
0.118,[0.86204 2.80185 1.13218],1.5836206340143857
0.118,[0.85727 2.87801 1.126  ],1.5946232421884967
0.118,[0.86357 2.67286 1.13513],1.5485229055151246
0.118,[0.86027 2.68901 1.13342],1.5414394441461714
0.118,[0.87028 2.77811 1.13737],1.6027867285513986
0.118,[0.85889 2.74091 1.13228],1.5522717523508456
0.118,[0.86165 2.83693 1.13045],1.5945007735708698
0.118,[0.86751 2.60849 1.13679],1.543285298199086
0.118,[0.8721  2.53236 1.13776],1.537322853155173
0.118,[0.86672 2.87983 1.13042],1.6268948952115898
0.118,[0.85811 2.84345 1.12842],1.5844705584625043
0.118,[0.86873 2.82285 1.13475],1.6127050529233742
0.118,[0.87199 2.57607 1.13897],1.5489701737540218
0.118,[0.86547 2.60063 1.13533],1.5342530521344477
0.118,[0.85894 2.85832 1.12797],1.5929976321157304
0.118,[0.87516 2.60073 1.14146],1.5661737622558067
0.118,[0.86133 2.75866 1.13312],1.5669627490666211
0.118,[0.87322 2.67142 1.1408 ],1.579888547662003
0.118,[0.863   2.67296 1.13481],1.5465817858243365
0.118,[0.86196 2.69672 1.13424],1.5500065437328427
0.118,[0.86079 2.85124 1.12926],1.5967676033409492
0.118,[0.86888 2.83802 1.13406],1.618443920886342
0.118,[0.86421 2.84762 1.13116],1.60682793694229
0.118,[0.86833 2.89918 1.12981],1.639577812148337
0.118,[0.86715 2.87323 1.13109],1.6257756757936084
0.118,[0.87467 2.72501 1.1411 ],1.6003611316560629
0.118,[0.8606  2.73454 1.13319],1.5567101083033559
0.118,[0.87021 2.70158 1.1389 ],1.5789784957303634
0.118,[0.86265 2.59168 1.13333],1.5219717475931183
0.118,[0.86382 2.84393 1.13117],1.6042080750520882
0.118,[0.87086 2.74637 1.13857],1.5946600304259895
0.118,[0.85695 2.86385 1.12675],1.5878951484712733
0.118,[0.86016 2.68691 1.13332],1.5403738730444778
0.118,[0.85766 2.85371 1.12765],1.5866668939722273
0.118,[0.86907 2.76394 1.13714],1.594385920985404
0.118,[0.86133 2.82153 1.13102],1.5879647992012669
0.118,[0.86591 2.62063 1.136  ],1.5413818215361046
0.118,[0.87315 2.71493 1.14042],1.5924411742979931
0.118,[0.86367 2.60091 1.1342 ],1.528185353246838
0.118,[0.86338 2.58012 1.13346],1.5213058647528723
0.118,[0.87024 2.59684 1.1383 ],1.5489931624936708
0.118,[0.87068 2.57493 1.13808],1.5443296162567806
0.118,[0.87868 2.56821 1.14303],1.5687791279211727
0.118,[0.85859 2.76106 1.13173],1.5576212575943147
0.118,[0.8752  2.6465  1.14193],1.5791387185123864
0.118,[0.87676 2.60759 1.14254],1.573293503073369
0.118,[0.86224 2.64203 1.1341 ],1.5348796506136577
0.118,[0.8622  2.651   1.13419],1.5373421767212612
0.118,[0.87359 2.66213 1.14102],1.5783934432240032
0.118,[0.86082 2.87987 1.12752],1.607695551565479
0.118,[0.87508 2.68255 1.14183],1.589099396088
0.118,[0.85717 2.81849 1.1292 ],1.5717980337604731
0.118,[0.87919 2.53844 1.1426 ],1.5624245240170305
0.118,[0.85766 2.85483 1.12759],1.5870806814091833
0.118,[0.86123 2.64292 1.13355],1.5314048511357263
0.118,[0.86048 2.66464 1.13338],1.5349429599648823
0.118,[0.86426 2.66335 1.13549],1.5481178318057613
0.118,[0.87741 2.6238  1.14311],1.579924009202314
0.118,[0.86361 2.56297 1.13307],1.517330088901602
0.118,[0.86337 2.56305 1.13291],1.5165213118710168
0.118,[0.87138 2.75089 1.13873],1.597721868791375
0.118,[0.86735 2.81516 1.13438],1.6056227217179828
0.118,[0.85703 2.80999 1.12951],1.568205775698979
0.118,[0.86366 2.6072  1.13434],1.5299275038289937
0.118,[0.87202 2.78423 1.13808],1.6103369235971965
0.118,[0.85917 2.73415 1.13251],1.5512039372919355
0.118,[0.86383 2.86579 1.12991],1.6122711024646537
0.118,[0.87014 2.83117 1.13506],1.6200525106226713
0.118,[0.85626 2.80753 1.12932],1.5640702701198208
0.118,[0.86559 2.79041 1.13444],1.5916243896264763
0.118,[0.87167 2.77008 1.13836],1.6046791112479304
0.118,[0.86905 2.68389 1.13833],1.569989343328025
0.118,[0.8647  2.64985 1.13564],1.545673917780746
0.118,[0.85808 2.75998 1.13154],1.5552425425659337
0.118,[0.86828 2.61107 1.13732],1.5465424306308477
0.118,[0.85903 2.77858 1.13149],1.5651436960836758
0.118,[0.86031 2.86106 1.12847],1.5987688210655888
0.118,[0.87175 2.68543 1.13991],1.5791803543929561
0.118,[0.85893 2.78217 1.13132],1.5659568536434587
0.118,[0.86202 2.58486 1.13275],1.5177275523722107
0.118,[0.86507 2.7759  1.13464],1.585189369341489
0.118,[0.86696 2.71109 1.13695],1.5712360477543454
0.118,[0.8626  2.60625 1.13366],1.5258881447143142
0.118,[0.85901 2.80296 1.13071],1.5733001036654948
0.118,[0.85833 2.79745 1.13054],1.5688776157645292
0.118,[0.87225 2.57219 1.13904],1.5487355016444724
0.118,[0.86643 2.75599 1.13591],1.5832938902917661
0.118,[0.87262 2.69432 1.14034],1.584630995853156
0.118,[0.85818 2.74454 1.13191],1.5505414943287579
0.118,[0.86986 2.86052 1.13326],1.6296445421430268
0.118,[0.86427 2.52297 1.13196],1.5086092830485804
0.118,[0.85854 2.83433 1.12908],1.5827077931553701
0.118,[0.86191 2.66561 1.13402],1.5405916154871349
0.118,[0.86784 2.86028 1.13226],1.6231573266686028
0.118,[0.8648  2.52203 1.13229],1.5101685688332112
